mr,ref
"day[0 9], month[10], year[2015]","It is October the ninth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[11], year[2015]","It is November twenty four in the year 2015 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 8], month[9], year[2013]","It is September the eighth , 2013 .","-1 -1 2 -1 1 4 3 -1"
"day[0 5], month[3], year[2009]","Today is March five in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[7], year[2019]","The date is July eight in the year 2019 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[3], year[2006]","It is thirteen March 2006 .","-1 -1 0 2 3 -1"
"day[2 3], month[2], year[2013]","Today is the twenty third of February , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 0], month[10], year[2006]","Today is October the thirtieth of the year 2006 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[8], year[2013]","Today is August twenty six in the year 2013 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 2], month[3], year[2008]","It is March twelve in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[4], year[2019]","The date is April four in the year 2019 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 7], month[6], year[2015]","The date is June the seventeenth of the year 2015 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[9], year[2014]","The date is the twenty first of September in the year 2014 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[6], year[2012]","The date is June the third of the year 2012 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[12], year[2004]","It is the twenty fifth of December , 2004 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 9], month[4], year[2004]","Today is April the ninth of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[6], year[2016]","It is seven June of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 5], month[6], year[2016]","The date is June fifteen , 2016 .","-1 -1 -1 2 0 4 3 -1"
"day[2 9], month[6], year[2015]","Today is the twenty ninth of June , 2015 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 8], month[4], year[2005]","The date is April eighteen , 2005 .","-1 -1 -1 2 0 4 3 -1"
"day[3 1], month[8], year[2019]","Today is August thirty one , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[1 5], month[3], year[2001]","Today is March fifteen , 2001 .","-1 -1 2 0 4 3 -1"
"day[1 1], month[2], year[2001]","The date is February the eleventh of the year 2001 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 2], month[4], year[2020]","Today is April twenty two , 2020 .","-1 -1 2 0 0 4 3 -1"
"day[2 8], month[11], year[2006]","The date is November the twenty eighth of the year 2006 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 3], month[1], year[2010]","Today is the thirteenth of January , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[12], year[2012]","It is December four in the year 2012 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[5], year[2015]","Today is May the third , 2015 .","-1 -1 2 -1 1 4 3 -1"
"day[0 2], month[8], year[2018]","The date is two August 2018 .","-1 -1 -1 0 2 3 -1"
"day[1 7], month[1], year[2002]","The date is the seventeenth of January in the year 2002 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[10], year[2003]","The date is nine October 2003 .","-1 -1 -1 0 2 3 -1"
"day[0 9], month[4], year[2002]","It is April the ninth of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 3], month[8], year[2018]","It is August thirteen in the year 2018 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[11], year[2014]","Today is twenty one November of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 6], month[10], year[2015]","Today is October sixteen in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[9], year[2001]","It is September the eighteenth of the year 2001 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[11], year[2013]","Today is November the first of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[7], year[2011]","Today is the fifteenth of July , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[7], year[2007]","Today is the fifteenth of July , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[6], year[2011]","It is sixteen June of the year 2011 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 5], month[4], year[2009]","The date is the twenty fifth of April in the year 2009 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[5], year[2014]","The date is May ten , 2014 .","-1 -1 -1 2 0 4 3 -1"
"day[0 5], month[7], year[2007]","Today is July five in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[12], year[2019]","It is December thirty , 2019 .","-1 -1 2 0 4 3 -1"
"day[2 4], month[7], year[2016]","The date is twenty four July of the year 2016 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 5], month[7], year[2017]","Today is the twenty fifth of July in the year 2017 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[7], year[2009]","The date is July twenty two , 2009 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 2], month[5], year[2019]","It is May the second of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[9], year[2017]","The date is September three in the year 2017 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[6], year[2002]","It is June the twenty sixth of the year 2002 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 3], month[11], year[2004]","Today is November three , 2004 .","-1 -1 2 0 4 3 -1"
"day[1 8], month[9], year[2015]","It is the eighteenth of September in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[2], year[2007]","The date is the twenty first of February in the year 2007 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[8], year[2003]","Today is the sixth of August in the year 2003 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[10], year[2019]","Today is October nineteen in the year 2019 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[4], year[2013]","It is April twenty three , 2013 .","-1 -1 2 0 0 4 3 -1"
"day[1 7], month[7], year[2008]","The date is seventeen July 2008 .","-1 -1 -1 0 2 3 -1"
"day[0 8], month[7], year[2001]","The date is eight July of the year 2001 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[7], year[2001]","It is the eleventh of July , 2001 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[2], year[2007]","The date is the fifth of February , 2007 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[3], year[2008]","Today is March the fifth , 2008 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[8], year[2007]","It is eleven August 2007 .","-1 -1 0 2 3 -1"
"day[1 0], month[9], year[2005]","Today is ten September 2005 .","-1 -1 0 2 3 -1"
"day[0 8], month[6], year[2020]","The date is eight June 2020 .","-1 -1 -1 0 2 3 -1"
"day[2 0], month[8], year[2012]","Today is twenty August 2012 .","-1 -1 0 2 3 -1"
"day[1 9], month[9], year[2001]","Today is the nineteenth of September in the year 2001 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[2], year[2016]","It is the eleventh of February , 2016 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 3], month[1], year[2012]","The date is January the twenty third of the year 2012 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 3], month[7], year[2009]","The date is the third of July , 2009 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[8], year[2017]","The date is August the seventeenth , 2017 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 3], month[10], year[2011]","It is the third of October in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[9], year[2001]","It is September thirty one , 2001 .","-1 -1 2 0 0 4 3 -1"
"day[0 8], month[12], year[2004]","It is eight December of the year 2004 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 2], month[12], year[2000]","It is the twenty second of December in the year 2000 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[7], year[2005]","It is July three , 2005 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[12], year[2013]","It is December sixteen , 2013 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[5], year[2008]","It is May the thirteenth of the year 2008 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[5], year[2003]","It is the seventh of May , 2003 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[5], year[2014]","It is twenty four May of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 9], month[1], year[2001]","Today is the twenty ninth of January in the year 2001 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[10], year[2001]","The date is October six , 2001 .","-1 -1 -1 2 0 4 3 -1"
"day[0 2], month[12], year[2018]","The date is December the second of the year 2018 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 3], month[9], year[2005]","The date is September the twenty third of the year 2005 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 5], month[9], year[2010]","Today is twenty five September 2010 .","-1 -1 0 0 2 3 -1"
"day[3 0], month[8], year[2016]","The date is the thirtieth of August in the year 2016 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[4], year[2016]","It is April twenty three in the year 2016 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 8], month[2], year[2013]","Today is twenty eight February of the year 2013 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 7], month[2], year[2011]","Today is February the twenty seventh , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 7], month[6], year[2001]","It is June the seventeenth of the year 2001 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[12], year[2017]","It is December fifteen in the year 2017 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[3], year[2013]","The date is eleven March of the year 2013 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 3], month[12], year[2013]","It is December twenty three in the year 2013 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 6], month[11], year[2006]","It is twenty six November of the year 2006 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 4], month[12], year[2015]","The date is December twenty four in the year 2015 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 1], month[6], year[2013]","It is eleven June 2013 .","-1 -1 0 2 3 -1"
"day[0 6], month[9], year[2017]","The date is September the sixth , 2017 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 2], month[10], year[2011]","The date is October the twelfth of the year 2011 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[7], year[2017]","Today is one July of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[6], year[2014]","Today is June eighteen in the year 2014 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[2], year[2020]","It is February the twenty ninth , 2020 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[8], year[2017]","Today is August eleven , 2017 .","-1 -1 2 0 4 3 -1"
"day[0 7], month[10], year[2003]","Today is October the seventh , 2003 .","-1 -1 2 -1 1 4 3 -1"
"day[2 8], month[5], year[2003]","It is the twenty eighth of May , 2003 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 8], month[12], year[2000]","Today is December the eighteenth , 2000 .","-1 -1 2 -1 1 4 3 -1"
"day[0 9], month[11], year[2005]","It is November the ninth of the year 2005 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[9], year[2002]","The date is eleven September of the year 2002 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 4], month[9], year[2020]","Today is fourteen September of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[5], year[2011]","The date is thirteen May 2011 .","-1 -1 -1 0 2 3 -1"
"day[2 8], month[4], year[2017]","Today is April the twenty eighth of the year 2017 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 2], month[5], year[2016]","The date is May two in the year 2016 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 7], month[1], year[2001]","Today is seventeen January 2001 .","-1 -1 0 2 3 -1"
"day[2 2], month[8], year[2008]","The date is August twenty two , 2008 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 7], month[8], year[2020]","Today is the seventeenth of August in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[11], year[2009]","The date is thirty one November 2009 .","-1 -1 -1 0 0 2 3 -1"
"day[0 5], month[7], year[2014]","It is July five , 2014 .","-1 -1 2 0 4 3 -1"
"day[0 6], month[11], year[2015]","The date is six November of the year 2015 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 8], month[12], year[2005]","It is December the eighth of the year 2005 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[11], year[2009]","The date is twenty one November 2009 .","-1 -1 -1 0 0 2 3 -1"
"day[2 6], month[5], year[2015]","Today is May twenty six , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[0 8], month[1], year[2017]","It is the eighth of January , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 1], month[8], year[2013]","The date is thirty one August 2013 .","-1 -1 -1 0 0 2 3 -1"
"day[0 7], month[7], year[2018]","Today is the seventh of July , 2018 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[9], year[2002]","The date is fifteen September 2002 .","-1 -1 -1 0 2 3 -1"
"day[2 4], month[6], year[2011]","The date is twenty four June of the year 2011 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 8], month[12], year[2006]","It is the twenty eighth of December in the year 2006 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[4], year[2009]","The date is April thirty in the year 2009 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[12], year[2000]","The date is the fourteenth of December in the year 2000 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[11], year[2005]","The date is twenty eight November of the year 2005 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 3], month[4], year[2002]","It is April thirteen , 2002 .","-1 -1 2 0 4 3 -1"
"day[0 2], month[2], year[2019]","Today is February the second of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 3], month[5], year[2015]","The date is thirteen May 2015 .","-1 -1 -1 0 2 3 -1"
"day[1 1], month[12], year[2003]","Today is December the eleventh of the year 2003 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[9], year[2001]","Today is September fifteen , 2001 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[8], year[2006]","It is August twenty eight in the year 2006 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 5], month[2], year[2013]","It is the twenty fifth of February in the year 2013 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[9], year[2002]","It is September twenty two , 2002 .","-1 -1 2 0 0 4 3 -1"
"day[0 9], month[4], year[2018]","Today is April the ninth , 2018 .","-1 -1 2 -1 1 4 3 -1"
"day[1 2], month[5], year[2014]","It is the twelfth of May , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 1], month[8], year[2012]","The date is August the thirty first of the year 2012 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 6], month[6], year[2011]","The date is the sixteenth of June in the year 2011 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[3], year[2011]","Today is thirty March 2011 .","-1 -1 0 2 3 -1"
"day[1 0], month[5], year[2019]","The date is May the tenth , 2019 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 7], month[3], year[2012]","It is the twenty seventh of March in the year 2012 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[6], year[2008]","It is June ten , 2008 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[2], year[2003]","It is the sixteenth of February in the year 2003 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[7], year[2002]","Today is the twenty third of July in the year 2002 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[8], year[2011]","It is August three , 2011 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[6], year[2011]","It is the twenty eighth of June , 2011 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 7], month[2], year[2014]","It is the twenty seventh of February in the year 2014 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[12], year[2008]","The date is the third of December , 2008 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[10], year[2016]","The date is the twenty seventh of October , 2016 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 6], month[5], year[2014]","The date is sixteen May of the year 2014 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[6], year[2020]","The date is June the third of the year 2020 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[12], year[2020]","It is the twelfth of December in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[1], year[2016]","It is nine January 2016 .","-1 -1 0 2 3 -1"
"day[1 0], month[6], year[2015]","The date is ten June of the year 2015 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[1], year[2015]","It is the thirteenth of January , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[7], year[2016]","The date is July twenty seven in the year 2016 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 7], month[11], year[2007]","The date is November twenty seven in the year 2007 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 3], month[8], year[2011]","Today is August the third of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[9], year[2017]","The date is September the third , 2017 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 6], month[5], year[2003]","It is sixteen May 2003 .","-1 -1 0 2 3 -1"
"day[1 0], month[8], year[2019]","The date is ten August of the year 2019 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 9], month[12], year[2009]","The date is the nineteenth of December in the year 2009 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 8], month[3], year[2011]","The date is March eight , 2011 .","-1 -1 -1 2 0 4 3 -1"
"day[3 0], month[1], year[2000]","It is January thirty in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[10], year[2004]","It is the nineteenth of October , 2004 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 3], month[3], year[2016]","Today is March twenty three , 2016 .","-1 -1 2 0 0 4 3 -1"
"day[1 7], month[7], year[2011]","Today is the seventeenth of July in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[9], year[2001]","The date is twelve September 2001 .","-1 -1 -1 0 2 3 -1"
"day[3 1], month[3], year[2005]","Today is March the thirty first , 2005 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 5], month[12], year[2004]","It is December fifteen in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[12], year[2019]","It is the eleventh of December in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 8], month[10], year[2004]","It is October the eighth , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[3 1], month[9], year[2008]","The date is the thirty first of September in the year 2008 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[5], year[2005]","The date is May the thirty first , 2005 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 3], month[7], year[2014]","The date is the twenty third of July , 2014 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 4], month[8], year[2020]","Today is August twenty four in the year 2020 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 1], month[8], year[2015]","It is August twenty one , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[0 8], month[3], year[2009]","The date is March eight , 2009 .","-1 -1 -1 2 0 4 3 -1"
"day[2 9], month[4], year[2012]","Today is twenty nine April of the year 2012 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 6], month[9], year[2015]","It is the sixth of September in the year 2015 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[7], year[2003]","The date is July twenty nine , 2003 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 6], month[10], year[2013]","It is the twenty sixth of October , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 7], month[1], year[2014]","Today is January twenty seven in the year 2014 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 4], month[5], year[2012]","Today is May twenty four in the year 2012 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 0], month[2], year[2013]","The date is February ten , 2013 .","-1 -1 -1 2 0 4 3 -1"
"day[3 1], month[8], year[2005]","The date is the thirty first of August , 2005 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 9], month[2], year[2016]","The date is February nineteen in the year 2016 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[4], year[2014]","The date is three April of the year 2014 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[6], year[2009]","It is June the twenty seventh of the year 2009 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 3], month[11], year[2006]","It is the twenty third of November in the year 2006 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[1], year[2019]","Today is thirteen January 2019 .","-1 -1 0 2 3 -1"
"day[1 3], month[6], year[2007]","It is June the thirteenth of the year 2007 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[12], year[2014]","It is December twenty eight in the year 2014 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 6], month[5], year[2003]","Today is May the twenty sixth of the year 2003 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 9], month[6], year[2016]","Today is June the twenty ninth , 2016 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 2], month[7], year[2017]","It is twenty two July of the year 2017 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 6], month[1], year[2014]","Today is the sixteenth of January , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 9], month[4], year[2018]","Today is April the twenty ninth of the year 2018 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[1], year[2017]","Today is the sixth of January , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[4], year[2001]","The date is April twenty four in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[12], year[2010]","The date is the twenty second of December , 2010 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 7], month[3], year[2016]","It is seven March of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[7], year[2018]","The date is July eighteen in the year 2018 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[3 1], month[10], year[2010]","Today is October the thirty first , 2010 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 3], month[7], year[2013]","It is three July 2013 .","-1 -1 0 2 3 -1"
"day[0 1], month[1], year[2017]","Today is January one , 2017 .","-1 -1 2 0 4 3 -1"
"day[0 1], month[10], year[2008]","It is one October of the year 2008 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 5], month[1], year[2009]","It is January fifteen in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[10], year[2019]","The date is the thirtieth of October in the year 2019 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[10], year[2011]","Today is October the twenty fifth of the year 2011 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 5], month[5], year[2003]","It is May twenty five in the year 2003 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 8], month[8], year[2007]","It is eight August 2007 .","-1 -1 0 2 3 -1"
"day[2 2], month[4], year[2006]","The date is April twenty two in the year 2006 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 5], month[3], year[2002]","It is the fifteenth of March , 2002 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 0], month[5], year[2020]","It is May thirty in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[12], year[2008]","The date is December the twenty first , 2008 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 2], month[8], year[2007]","It is August twelve in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[7], year[2006]","It is July twenty seven , 2006 .","-1 -1 2 0 0 4 3 -1"
"day[2 2], month[11], year[2002]","It is November twenty two in the year 2002 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 8], month[9], year[2005]","It is the eighth of September in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[3], year[2005]","Today is twenty five March of the year 2005 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 6], month[8], year[2018]","Today is the twenty sixth of August in the year 2018 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[3], year[2017]","The date is March the fifth , 2017 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 9], month[2], year[2017]","Today is February nineteen , 2017 .","-1 -1 2 0 4 3 -1"
"day[0 8], month[2], year[2000]","It is the eighth of February in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[2], year[2019]","Today is February five , 2019 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[10], year[2011]","Today is October the twelfth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[7], year[2015]","It is July the eleventh of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 7], month[11], year[2016]","The date is seventeen November of the year 2016 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[2], year[2011]","Today is February the eighteenth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[10], year[2020]","It is the first of October in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[10], year[2014]","The date is the twenty sixth of October , 2014 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 8], month[10], year[2004]","It is eight October 2004 .","-1 -1 0 2 3 -1"
"day[1 4], month[8], year[2002]","The date is August fourteen , 2002 .","-1 -1 -1 2 0 4 3 -1"
"day[1 5], month[5], year[2017]","It is May fifteen in the year 2017 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[11], year[2001]","The date is November the ninth , 2001 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 0], month[3], year[2008]","It is March the twentieth , 2008 .","-1 -1 2 -1 1 4 3 -1"
"day[0 7], month[11], year[2010]","It is November the seventh , 2010 .","-1 -1 2 -1 1 4 3 -1"
"day[2 5], month[11], year[2006]","It is twenty five November 2006 .","-1 -1 0 0 2 3 -1"
