mr,ref
"day[1 9], month[1], year[2020]","It is January the nineteenth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[5], year[2008]","It is two May 2008 .","-1 -1 0 2 3 -1"
"day[1 0], month[11], year[2018]","It is November ten in the year 2018 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[10], year[2007]","The date is eleven October of the year 2007 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 0], month[4], year[2000]","The date is twenty April 2000 .","-1 -1 -1 0 2 3 -1"
"day[2 6], month[11], year[2002]","The date is the twenty sixth of November , 2002 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 2], month[3], year[2014]","The date is March twelve in the year 2014 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[5], year[2011]","It is May the eighth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 4], month[10], year[2004]","The date is October the fourteenth of the year 2004 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[3], year[2013]","It is March the twenty fifth , 2013 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 2], month[11], year[2014]","The date is twelve November of the year 2014 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[10], year[2006]","Today is the sixteenth of October in the year 2006 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 7], month[12], year[2013]","It is December seventeen in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[2], year[2009]","It is seven February of the year 2009 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 3], month[6], year[2018]","The date is twenty three June of the year 2018 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 0], month[7], year[2013]","Today is July thirty in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[10], year[2006]","It is the first of October , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[4], year[2011]","The date is the ninth of April , 2011 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[9], year[2010]","It is September seventeen , 2010 .","-1 -1 2 0 4 3 -1"
"day[2 4], month[3], year[2011]","It is twenty four March of the year 2011 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 2], month[8], year[2019]","Today is August the second of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[10], year[2020]","It is the fifteenth of October in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[7], year[2017]","Today is July the eighteenth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[10], year[2010]","It is October the fourteenth of the year 2010 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 4], month[8], year[2003]","The date is the fourteenth of August , 2003 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 4], month[6], year[2001]","It is June fourteen in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 3], month[5], year[2009]","Today is May twenty three , 2009 .","-1 -1 2 0 0 4 3 -1"
"day[3 1], month[9], year[2017]","It is the thirty first of September in the year 2017 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 8], month[2], year[2013]","Today is eight February of the year 2013 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[5], year[2018]","Today is May twenty eight in the year 2018 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[8], year[2011]","It is August the twenty second , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 9], month[12], year[2020]","It is twenty nine December 2020 .","-1 -1 0 0 2 3 -1"
"day[2 6], month[12], year[2005]","It is December twenty six , 2005 .","-1 -1 2 0 0 4 3 -1"
"day[1 5], month[5], year[2004]","It is May the fifteenth , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[2 7], month[8], year[2005]","It is twenty seven August 2005 .","-1 -1 0 0 2 3 -1"
"day[2 4], month[4], year[2017]","Today is April twenty four , 2017 .","-1 -1 2 0 0 4 3 -1"
"day[2 8], month[9], year[2011]","Today is September the twenty eighth , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[3 1], month[11], year[2018]","It is November the thirty first , 2018 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[3], year[2007]","It is March eleven , 2007 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[9], year[2011]","Today is September the thirteenth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[10], year[2009]","Today is the sixth of October , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[6], year[2009]","It is June the fourth of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[6], year[2008]","The date is June the twenty fifth of the year 2008 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 6], month[11], year[2019]","The date is November sixteen in the year 2019 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[12], year[2009]","It is five December 2009 .","-1 -1 0 2 3 -1"
"day[2 4], month[3], year[2018]","The date is twenty four March 2018 .","-1 -1 -1 0 0 2 3 -1"
"day[2 7], month[1], year[2004]","The date is the twenty seventh of January , 2004 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 7], month[4], year[2015]","It is seventeen April 2015 .","-1 -1 0 2 3 -1"
"day[1 1], month[4], year[2010]","The date is the eleventh of April in the year 2010 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[8], year[2003]","Today is thirteen August of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[11], year[2005]","The date is November the third , 2005 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 7], month[4], year[2013]","It is seven April of the year 2013 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 0], month[1], year[2011]","Today is January thirty , 2011 .","-1 -1 2 0 4 3 -1"
"day[2 4], month[12], year[2001]","The date is the twenty fourth of December , 2001 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 6], month[5], year[2007]","The date is the sixth of May , 2007 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 6], month[7], year[2005]","Today is the sixth of July in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[10], year[2014]","The date is the twenty third of October , 2014 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 8], month[4], year[2000]","Today is April twenty eight in the year 2000 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[3 1], month[1], year[2007]","Today is thirty one January 2007 .","-1 -1 0 0 2 3 -1"
"day[2 9], month[9], year[2012]","Today is twenty nine September 2012 .","-1 -1 0 0 2 3 -1"
"day[1 6], month[7], year[2011]","Today is July the sixteenth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[9], year[2014]","It is September seven , 2014 .","-1 -1 2 0 4 3 -1"
"day[0 6], month[7], year[2000]","It is the sixth of July in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[7], year[2010]","The date is nineteen July 2010 .","-1 -1 -1 0 2 3 -1"
"day[2 6], month[6], year[2017]","Today is June the twenty sixth of the year 2017 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 5], month[7], year[2012]","Today is July the twenty fifth of the year 2012 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 7], month[4], year[2019]","The date is April seventeen in the year 2019 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 6], month[4], year[2011]","The date is April sixteen in the year 2011 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 6], month[9], year[2008]","It is September six in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[12], year[2017]","Today is December nine in the year 2017 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[2], year[2004]","The date is February the first , 2004 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 1], month[11], year[2001]","It is the twenty first of November , 2001 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 0], month[12], year[2016]","The date is December the tenth of the year 2016 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[7], year[2010]","It is July the twenty ninth , 2010 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 5], month[11], year[2003]","Today is five November 2003 .","-1 -1 0 2 3 -1"
"day[0 1], month[2], year[2012]","Today is February the first of the year 2012 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[9], year[2009]","Today is September the twenty first , 2009 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 9], month[6], year[2007]","It is June twenty nine in the year 2007 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 8], month[5], year[2014]","Today is eight May of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 7], month[5], year[2020]","It is May seventeen in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 2], month[3], year[2013]","Today is twenty two March 2013 .","-1 -1 0 0 2 3 -1"
"day[0 8], month[4], year[2009]","The date is the eighth of April in the year 2009 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[10], year[2008]","The date is October the twenty third of the year 2008 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 0], month[6], year[2016]","It is ten June 2016 .","-1 -1 0 2 3 -1"
"day[2 5], month[11], year[2001]","The date is November twenty five in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 3], month[6], year[2007]","Today is the third of June , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[4], year[2012]","The date is the ninth of April in the year 2012 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[7], year[2012]","The date is the nineteenth of July , 2012 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 1], month[4], year[2007]","The date is eleven April of the year 2007 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[7], year[2020]","The date is July twenty seven , 2020 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 8], month[5], year[2000]","The date is eighteen May 2000 .","-1 -1 -1 0 2 3 -1"
"day[0 2], month[8], year[2005]","The date is the second of August in the year 2005 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[10], year[2019]","It is the twenty first of October in the year 2019 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[7], year[2005]","Today is July thirteen , 2005 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[7], year[2006]","The date is July sixteen in the year 2006 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[6], year[2020]","The date is June thirteen , 2020 .","-1 -1 -1 2 0 4 3 -1"
"day[1 2], month[1], year[2011]","It is January twelve in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 5], month[5], year[2003]","The date is twenty five May 2003 .","-1 -1 -1 0 0 2 3 -1"
"day[1 5], month[12], year[2014]","It is fifteen December of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 1], month[1], year[2007]","The date is January twenty one in the year 2007 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 6], month[4], year[2018]","Today is six April 2018 .","-1 -1 0 2 3 -1"
"day[1 6], month[9], year[2013]","It is September sixteen , 2013 .","-1 -1 2 0 4 3 -1"
"day[0 2], month[12], year[2001]","It is two December of the year 2001 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 1], month[11], year[2014]","Today is the thirty first of November , 2014 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 5], month[2], year[2001]","The date is February twenty five in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 4], month[10], year[2017]","It is four October of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 4], month[9], year[2020]","It is four September 2020 .","-1 -1 0 2 3 -1"
"day[0 9], month[8], year[2016]","Today is August nine , 2016 .","-1 -1 2 0 4 3 -1"
"day[0 8], month[3], year[2014]","The date is March eight in the year 2014 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 5], month[8], year[2005]","Today is August twenty five , 2005 .","-1 -1 2 0 0 4 3 -1"
"day[2 8], month[3], year[2005]","The date is twenty eight March of the year 2005 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 0], month[11], year[2016]","It is thirty November of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[1], year[2011]","The date is the third of January in the year 2011 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 4], month[10], year[2020]","It is October the fourteenth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 0], month[9], year[2009]","Today is the tenth of September , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[3 1], month[3], year[2018]","It is the thirty first of March in the year 2018 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[5], year[2004]","It is the nineteenth of May , 2004 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 2], month[12], year[2005]","It is the twelfth of December in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[1], year[2009]","Today is the second of January in the year 2009 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[8], year[2014]","The date is August the sixteenth , 2014 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 3], month[7], year[2012]","It is three July 2012 .","-1 -1 0 2 3 -1"
"day[0 5], month[1], year[2012]","Today is the fifth of January , 2012 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[8], year[2013]","Today is the thirteenth of August , 2013 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 1], month[3], year[2015]","The date is March the first , 2015 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 2], month[1], year[2014]","Today is the second of January in the year 2014 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[3], year[2015]","It is March twelve in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 2], month[1], year[2012]","It is the twenty second of January , 2012 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 2], month[7], year[2003]","Today is July twenty two in the year 2003 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 7], month[2], year[2012]","The date is February the seventh , 2012 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 4], month[10], year[2020]","The date is October fourteen , 2020 .","-1 -1 -1 2 0 4 3 -1"
"day[0 9], month[12], year[2006]","It is nine December of the year 2006 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 5], month[6], year[2000]","Today is June five in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 5], month[3], year[2020]","The date is March fifteen in the year 2020 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[4], year[2017]","Today is April the fourth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[4], year[2002]","Today is April the eleventh of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[5], year[2011]","Today is eighteen May 2011 .","-1 -1 0 2 3 -1"
"day[0 9], month[2], year[2019]","Today is the ninth of February , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[7], year[2019]","Today is the twenty seventh of July , 2019 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 8], month[5], year[2008]","Today is the twenty eighth of May , 2008 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 7], month[10], year[2011]","Today is October twenty seven , 2011 .","-1 -1 2 0 0 4 3 -1"
"day[1 3], month[6], year[2015]","Today is thirteen June of the year 2015 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 9], month[3], year[2007]","It is March the ninth of the year 2007 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 7], month[5], year[2017]","Today is seven May 2017 .","-1 -1 0 2 3 -1"
"day[2 4], month[9], year[2007]","The date is September the twenty fourth of the year 2007 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 0], month[10], year[2010]","The date is October the twentieth , 2010 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 5], month[8], year[2020]","Today is August the fifteenth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 7], month[1], year[2018]","The date is January the seventeenth of the year 2018 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[6], year[2006]","Today is two June of the year 2006 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 6], month[4], year[2016]","The date is April six in the year 2016 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[8], year[2005]","Today is August the fourth of the year 2005 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 0], month[4], year[2010]","Today is the thirtieth of April , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[1], year[2009]","The date is January fifteen in the year 2009 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[9], year[2009]","The date is September the first , 2009 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 6], month[9], year[2007]","It is six September 2007 .","-1 -1 0 2 3 -1"
"day[1 2], month[2], year[2014]","The date is the twelfth of February , 2014 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 6], month[3], year[2020]","The date is March six , 2020 .","-1 -1 -1 2 0 4 3 -1"
"day[2 5], month[4], year[2005]","The date is twenty five April of the year 2005 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 2], month[5], year[2014]","It is twenty two May of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 8], month[6], year[2011]","The date is June eighteen in the year 2011 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[1], year[2016]","Today is the nineteenth of January , 2016 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[5], year[2020]","The date is sixteen May of the year 2020 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[4], year[2004]","The date is April the third of the year 2004 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 0], month[11], year[2011]","Today is November the thirtieth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[4], year[2019]","The date is April twenty eight in the year 2019 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 9], month[8], year[2016]","Today is twenty nine August of the year 2016 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 8], month[3], year[2005]","Today is March eighteen , 2005 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[12], year[2006]","The date is the thirteenth of December in the year 2006 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[1], year[2016]","The date is the ninth of January , 2016 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[8], year[2000]","Today is August twenty six , 2000 .","-1 -1 2 0 0 4 3 -1"
"day[1 7], month[9], year[2003]","The date is September seventeen in the year 2003 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[6], year[2018]","Today is the twenty sixth of June in the year 2018 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[8], year[2001]","Today is nineteen August of the year 2001 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 4], month[7], year[2014]","It is the fourteenth of July , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 0], month[8], year[2017]","The date is August the tenth , 2017 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 5], month[8], year[2012]","Today is August twenty five in the year 2012 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 7], month[10], year[2019]","Today is the seventeenth of October , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[7], year[2019]","It is the thirteenth of July in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[6], year[2016]","The date is twenty five June of the year 2016 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 2], month[11], year[2009]","It is November twenty two in the year 2009 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 6], month[3], year[2004]","It is twenty six March 2004 .","-1 -1 0 0 2 3 -1"
"day[1 6], month[10], year[2015]","The date is October sixteen in the year 2015 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[8], year[2006]","It is August twenty eight , 2006 .","-1 -1 2 0 0 4 3 -1"
"day[0 1], month[4], year[2020]","The date is the first of April , 2020 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 3], month[3], year[2009]","The date is March three , 2009 .","-1 -1 -1 2 0 4 3 -1"
"day[2 6], month[4], year[2011]","It is April the twenty sixth , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 9], month[3], year[2001]","The date is the nineteenth of March in the year 2001 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 5], month[10], year[2014]","The date is October fifteen , 2014 .","-1 -1 -1 2 0 4 3 -1"
"day[0 1], month[8], year[2014]","Today is the first of August in the year 2014 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[10], year[2001]","Today is October four , 2001 .","-1 -1 2 0 4 3 -1"
"day[0 3], month[8], year[2007]","It is the third of August , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[8], year[2015]","The date is twenty four August of the year 2015 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 4], month[9], year[2001]","The date is September the twenty fourth of the year 2001 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 9], month[8], year[2011]","It is the twenty ninth of August , 2011 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 7], month[1], year[2005]","The date is seventeen January of the year 2005 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[12], year[2020]","The date is December three in the year 2020 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[4], year[2012]","It is April the third of the year 2012 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[11], year[2017]","The date is November the fifteenth of the year 2017 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[4], year[2011]","The date is April the twenty seventh , 2011 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 7], month[6], year[2011]","It is June the seventeenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[2 4], month[10], year[2011]","Today is twenty four October of the year 2011 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 0], month[12], year[2004]","The date is December the twentieth , 2004 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 4], month[10], year[2020]","It is October fourteen , 2020 .","-1 -1 2 0 4 3 -1"
"day[2 7], month[7], year[2000]","The date is the twenty seventh of July in the year 2000 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[2], year[2007]","Today is February five in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[3], year[2019]","It is twenty eight March of the year 2019 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 9], month[5], year[2002]","Today is the ninth of May in the year 2002 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[8], year[2006]","The date is August the fourth of the year 2006 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[8], year[2015]","The date is August twenty six , 2015 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 2], month[4], year[2013]","It is twelve April of the year 2013 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[8], year[2017]","It is the twenty seventh of August , 2017 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 9], month[1], year[2019]","It is January nineteen in the year 2019 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[5], year[2020]","It is thirteen May of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 1], month[9], year[2008]","It is one September of the year 2008 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 1], month[12], year[2016]","It is December thirty one in the year 2016 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 3], month[4], year[2019]","The date is April three in the year 2019 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[1], year[2020]","It is January twenty seven in the year 2020 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 8], month[9], year[2020]","The date is eight September of the year 2020 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[7], year[2018]","The date is July the second of the year 2018 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[12], year[2019]","Today is December the twenty sixth , 2019 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 7], month[8], year[2006]","It is August the twenty seventh , 2006 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 4], month[2], year[2012]","The date is the twenty fourth of February in the year 2012 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[9], year[2010]","Today is September the first of the year 2010 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[11], year[2011]","It is November eight , 2011 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[1], year[2011]","It is January the twenty eighth , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 0], month[6], year[2019]","Today is June the tenth of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[3], year[2002]","The date is twenty one March 2002 .","-1 -1 -1 0 0 2 3 -1"
"day[2 7], month[10], year[2005]","The date is October twenty seven , 2005 .","-1 -1 -1 2 0 0 4 3 -1"
"day[3 1], month[1], year[2008]","The date is thirty one January 2008 .","-1 -1 -1 0 0 2 3 -1"
"day[1 7], month[7], year[2000]","It is July seventeen , 2000 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[11], year[2017]","It is the twenty second of November , 2017 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 6], month[9], year[2006]","The date is September the sixteenth of the year 2006 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 3], month[8], year[2015]","It is twenty three August 2015 .","-1 -1 0 0 2 3 -1"
"day[3 1], month[3], year[2008]","Today is March the thirty first of the year 2008 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 1], month[6], year[2008]","It is June one in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[3], year[2017]","It is March the twentieth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[0 5], month[7], year[2017]","The date is the fifth of July in the year 2017 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[8], year[2015]","The date is the first of August , 2015 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[12], year[2010]","The date is December thirteen , 2010 .","-1 -1 -1 2 0 4 3 -1"
"day[1 5], month[3], year[2011]","It is the fifteenth of March in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[2], year[2014]","The date is the eighteenth of February in the year 2014 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[6], year[2015]","The date is twenty one June 2015 .","-1 -1 -1 0 0 2 3 -1"
